title,studio
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),Lerche
School Days,TNK
Masamune-kun no Revenge,Silver Link.
Owari no Seraph: Nagoya Kessen-hen,Wit Studio
Kami nomi zo Shiru Sekai,Manglobe
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,Silver Link.
Overlord III,Madhouse
Saiki Kusuo no Ψ-nan,J.C.Staff
Saiki Kusuo no Ψ-nan,Egg Firm
Orange,Telecom Animation Film
Dragon Ball Super,Toei Animation
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,White Fox
Barakamon,Kinema Citrus
Psycho-Pass 2,Tatsunoko Production
Monogatari Series: Second Season,Shaft
IS: Infinite Stratos,8bit
Chuunibyou demo Koi ga Shitai! Ren,Kyoto Animation
Ao no Exorcist: Kyoto Fujouou-hen,A-1 Pictures
Strike the Blood,Silver Link.
Strike the Blood,Connect
K-On!!,Kyoto Animation
Eromanga-sensei,A-1 Pictures
Amagi Brilliant Park,Kyoto Animation
Kuroko no Basket 3rd Season,Production I.G
Sword Art Online Movie: Ordinal Scale,A-1 Pictures
Bakuman.,J.C.Staff
Suzumiya Haruhi no Shoushitsu,Kyoto Animation
Rokka no Yuusha,Passione
Zetsuen no Tempest,Bones
Nisekoi:,Shaft
To LOVE-Ru,Xebec
Ergo Proxy,Manglobe
Vampire Knight,Studio Deen
Log Horizon 2nd Season,Studio Deen
Boruto: Naruto Next Generations,Studio Pierrot
Himouto! Umaru-chan,Doga Kobo
Shakugan no Shana,J.C.Staff
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,David Production
Koukaku Kidoutai,Production I.G
Gakusen Toshi Asterisk,A-1 Pictures
Kami no Tou,Telecom Animation Film
Wotaku ni Koi wa Muzukashii,A-1 Pictures
Sukitte Ii na yo.,Zexcs
Ore Monogatari!!,Madhouse
Shiki,Daume
Katekyo Hitman Reborn!,Artland
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,Diomedea
Dragon Ball GT,Toei Animation
Nagi no Asu kara,P.A. Works
Shinmai Maou no Testament,Production IMS
Sankarea,Studio Deen
Serial Experiments Lain,Triangle Staff
Higashi no Eden,Production I.G
Beelzebub,Pierrot Plus
Yuu☆Yuu☆Hakusho,Studio Pierrot
Tsurezure Children,Studio Gokumi
Rokudenashi Majutsu Koushi to Akashic Records,LIDENFILMS
Toaru Kagaku no Railgun,J.C.Staff
Pokemon,OLM
Little Witch Academia (TV),Trigger
91 Days,Shuka
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,J.C.Staff
Grisaia no Kajitsu,8bit
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,White Fox
Kuzu no Honkai,Lerche
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,J.C.Staff
Bungou Stray Dogs 2nd Season,Bones
Ajin,Polygon Pictures
Katanagatari,White Fox
Aldnoah.Zero,A-1 Pictures
Aldnoah.Zero,TROYCA
Akagami no Shirayuki-hime,Bones
Gamers!,Pine Jam
Date A Live II,Production IMS
Nanatsu no Taizai: Seisen no Shirushi,A-1 Pictures
Gosick,Bones
Kiss x Sis (TV),feel.
3-gatsu no Lion,Shaft
Saenai Heroine no Sodatekata,A-1 Pictures
Suzumiya Haruhi no Yuuutsu (2009),Kyoto Animation
Lovely★Complex,Toei Animation
Kenpuu Denki Berserk,OLM
Summer Wars,Madhouse
Kuroshitsuji II,A-1 Pictures
Blend S,A-1 Pictures
Gangsta.,Manglobe
Boku wa Tomodachi ga Sukunai Next,AIC Build
God Eater,ufotable
Absolute Duo,8bit
Zero no Tsukaima: Futatsuki no Kishi,J.C.Staff
Full Metal Panic!,Gonzo
Kamisama Hajimemashita,TMS Entertainment
Hotaru no Haka,Studio Ghibli
Fruits Basket,Studio Deen
Nekomonogatari: Kuro,Shaft
Natsume Yuujinchou,Brain&#039;s Base
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",A-1 Pictures
Tokyo Ghoul:re 2nd Season,Studio Pierrot
Tokyo Ghoul:re 2nd Season,Pierrot Plus
Chobits,Madhouse
Inu x Boku SS,David Production
Drifters,Hoods Drifters Studio
Ichiban Ushiro no Daimaou,Artland
Sora no Otoshimono,AIC A.S.T.A.
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,Ajia-Do
Sword Art Online Alternative: Gun Gale Online,Studio 3Hz
Ookami to Koushinryou II,Brain&#039;s Base
Ookami to Koushinryou II,Marvy Jack
Hunter x Hunter,Nippon Animation
Inuyashiki,MAPPA
Seitokai Yakuindomo,GoHands
Usagi Drop,Production I.G
Tenki no Ko,CoMix Wave Films
Hataraku Saibou (TV),David Production
Mayo Chiki!,feel.
Nana,Madhouse
Koukyoushihen Eureka Seven,Bones
The God of High School,MAPPA
Rurouni Kenshin: Meiji Kenkaku Romantan,Gallop
Rurouni Kenshin: Meiji Kenkaku Romantan,Studio Deen
Durarara!!x2 Shou,Shuka
Musaigen no Phantom World,Kyoto Animation
Higurashi no Naku Koro ni Kai,Studio Deen
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,A-1 Pictures
Beastars,Orange
Gintama°,Bandai Namco Pictures
Grand Blue,Zero-G
Kaze no Stigma,Gonzo
Mekakucity Actors,Shaft
Boku no Hero Academia the Movie 1: Futari no Hero,Bones
Hajime no Ippo,Madhouse
Netoge no Yome wa Onnanoko ja Nai to Omotta?,Project No.9
Black Lagoon: The Second Barrage,Madhouse
Sword Art Online: Alicization - War of Underworld,A-1 Pictures
Hentai Ouji to Warawanai Neko.,J.C.Staff
Zero no Tsukaima: Princesses no Rondo,J.C.Staff
Tokyo Ravens,8bit
Haikyuu!!: To the Top,Production I.G
Pandora Hearts,Xebec
Sousei no Onmyouji,Studio Pierrot
Majo no Takkyuubin,Studio Ghibli
Majo no Takkyuubin,Studio Hibari
Toaru Majutsu no Index II,J.C.Staff
Kakegurui××,MAPPA
Re:Creators,TROYCA
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,A-1 Pictures
Working!!,A-1 Pictures
Kimi no Suizou wo Tabetai,Studio VOLN
Evangelion: 1.0 You Are (Not) Alone,Khara
Kizumonogatari I: Tekketsu-hen,Shaft
5-toubun no Hanayome,Tezuka Productions
Paprika,Madhouse
Darker than Black: Ryuusei no Gemini,Bones
Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,J.C.Staff
Perfect Blue,Madhouse
"Yosuga no Sora: In Solitude, Where We Are Least Alone.",feel.
Love Live! School Idol Project,Sunrise
Gintama&#039;,Sunrise
Maoyuu Maou Yuusha,Arms
Domestic na Kanojo,Diomedea
Shirobako,P.A. Works
Rosario to Vampire Capu2,Gonzo
Evangelion: 2.0 You Can (Not) Advance,Khara
Owarimonogatari,Shaft
Chihayafuru,Madhouse
Gake no Ue no Ponyo,Studio Ghibli
Satsuriku no Tenshi,J.C.Staff
Tsuki ga Kirei,feel.
Karakai Jouzu no Takagi-san,Shin-Ei Animation
Steins;Gate: Oukoubakko no Poriomania,White Fox
Nanatsu no Taizai: Kamigami no Gekirin,Studio Deen
Gakkougurashi!,Lerche
Gabriel DropOut,Doga Kobo
Net-juu no Susume,Signal.MD
Cardcaptor Sakura,Madhouse
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",Diomedea
Dagashi Kashi,feel.
Hinamatsuri,feel.
"Dakara Boku wa, H ga Dekinai.",feel.
Zero no Tsukaima F,J.C.Staff
Shingeki no Bahamut: Genesis,MAPPA
Koukaku Kidoutai: Stand Alone Complex,Production I.G
Sekirei,Seven Arcs
New Game!,Doga Kobo
Fruits Basket 1st Season,TMS Entertainment
Banana Fish,MAPPA
Kami nomi zo Shiru Sekai II,Manglobe
B-gata H-kei,Hal Film Maker
B-gata H-kei,TYO Animations
Sora yori mo Tooi Basho,Madhouse
Kimi ni Todoke 2nd Season,Production I.G
Ookami Shoujo to Kuro Ouji,TYO Animations
Tenkuu no Shiro Laputa,Studio Ghibli
Megalo Box,TMS Entertainment
Isekai wa Smartphone to Tomo ni.,Production Reed
Digimon Adventure,Toei Animation
Fate/Apocrypha,A-1 Pictures
Kore wa Zombie Desu ka? of the Dead,Studio Deen
Blood+,Production I.G
Hibike! Euphonium,Kyoto Animation
Kara no Kyoukai 1: Fukan Fuukei,ufotable
Aho Girl,Diomedea
Magi: Sinbad no Bouken (TV),Lay-duce
Hagure Yuusha no Aesthetica,Arms
Citrus,Passione
Inou-Battle wa Nichijou-kei no Naka de,Trigger
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,feel.
The Last: Naruto the Movie,Studio Pierrot
Death March kara Hajimaru Isekai Kyousoukyoku,Silver Link.
Death March kara Hajimaru Isekai Kyousoukyoku,Connect
No.6,Bones
Tasogare Otome x Amnesia,Silver Link.
Shinchou Yuusha: Kono Yuusha ga Ore Tsueee Kuse ni Shinchou Sugiru,White Fox
Baka to Test to Shoukanjuu Ni!,Silver Link.
Hanamonogatari,Shaft
Hajimete no Gal,NAZ
D-Frag!,Brain&#039;s Base
"Kanojo, Okarishimasu",TMS Entertainment
Arifureta Shokugyou de Sekai Saikyou,Asread
Arifureta Shokugyou de Sekai Saikyou,White Fox
Demi-chan wa Kataritai,A-1 Pictures
Hitsugi no Chaika,Bones
Hidan no Aria,J.C.Staff
Shokugeki no Souma: Shin no Sara,J.C.Staff
Black★Rock Shooter (TV),Ordet
Black★Rock Shooter (TV),SANZIGEN
Tsukimonogatari,Shaft
Ano Natsu de Matteru,J.C.Staff
Bokura wa Minna Kawai-sou,Brain&#039;s Base
Durarara!!x2 Ten,Shuka
Gakusen Toshi Asterisk 2nd Season,A-1 Pictures
Arslan Senki (TV),SANZIGEN
Arslan Senki (TV),LIDENFILMS
Vampire Knight: Guilty,Studio Deen
Air Gear,Toei Animation
Zombieland Saga,MAPPA
Grisaia no Rakuen,8bit
Kenja no Mago,Silver Link.
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,Diomedea
Boruto: Naruto the Movie,Studio Pierrot
Saiki Kusuo no Ψ-nan 2,J.C.Staff
Saiki Kusuo no Ψ-nan 2,Egg Firm
IS: Infinite Stratos 2,8bit
Rainbow: Nisha Rokubou no Shichinin,Madhouse
Bakemono no Ko,Studio Chizu
Free!: Eternal Summer,Kyoto Animation
Free!: Eternal Summer,Animation Do
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,J.C.Staff
Yojouhan Shinwa Taikei,Madhouse
Tanaka-kun wa Itsumo Kedaruge,Silver Link.
Special A,Gonzo
Special A,AIC
Kizumonogatari III: Reiketsu-hen,Shaft
Panty &amp; Stocking with Garterbelt,Gainax
Shaman King,Xebec
Fairy Tail: Final Series,A-1 Pictures
Fairy Tail: Final Series,Bridge
Fairy Tail: Final Series,CloverWorks
Shingeki no Kyojin: Kuinaki Sentaku,Wit Studio
Houseki no Kuni (TV),Orange
Mikakunin de Shinkoukei,Doga Kobo
Kizumonogatari II: Nekketsu-hen,Shaft
Durarara!!x2 Ketsu,Shuka
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,CloverWorks
