title,series_type,episodes,status,premiered,source,duration,rating,score,votes
Kyoukai no Kanata,TV,12,Finished Airing,Fall 2013,Light novel,24,PG-13 - Teens 13 or older,7.79,381522
Ansatsu Kyoushitsu 2nd Season,TV,25,Finished Airing,Winter 2016,Manga,23,PG-13 - Teens 13 or older,8.55,462087
Tate no Yuusha no Nariagari,TV,25,Finished Airing,Winter 2019,Light novel,24,PG-13 - Teens 13 or older,8.01,441301
Made in Abyss,TV,13,Finished Airing,Summer 2017,Web manga,25,R - 17+ (violence & profanity),8.77,408314
Boku no Hero Academia 4th Season,TV,25,Finished Airing,Fall 2019,Manga,24,PG-13 - Teens 13 or older,8.12,388621
Dr. Stone,TV,24,Finished Airing,Summer 2019,Manga,24,PG-13 - Teens 13 or older,8.35,405760
Howl no Ugoku Shiro,Movie,1,Finished Airing,,Novel,119,G - All Ages,8.67,518807
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,Finished Airing,Fall 2018,Light novel,24,PG-13 - Teens 13 or older,8.4,449146
Zankyou no Terror,TV,11,Finished Airing,Summer 2014,Original,22,R - 17+ (violence & profanity),8.13,412327
Ouran Koukou Host Club,TV,26,Finished Airing,Spring 2006,Manga,23,PG-13 - Teens 13 or older,8.21,456727
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,Finished Airing,Winter 2019,Manga,25,PG-13 - Teens 13 or older,8.44,445587
Fate/Zero 2nd Season,TV,12,Finished Airing,Spring 2012,Light novel,24,R - 17+ (violence & profanity),8.6,468985
Kuroko no Basket,TV,25,Finished Airing,Spring 2012,Manga,24,PG-13 - Teens 13 or older,8.18,426490
Haikyuu!! Second Season,TV,25,Finished Airing,Fall 2015,Manga,24,PG-13 - Teens 13 or older,8.77,464277
Darker than Black: Kuro no Keiyakusha,TV,25,Finished Airing,Spring 2007,Original,24,R - 17+ (violence & profanity),8.13,348289
Shokugeki no Souma: Ni no Sara,TV,13,Finished Airing,Summer 2016,Manga,24,PG-13 - Teens 13 or older,8.26,444977
K-On!,TV,13,Finished Airing,Spring 2009,4-koma manga,24,PG-13 - Teens 13 or older,7.84,389124
Magi: The Labyrinth of Magic,TV,25,Finished Airing,Fall 2012,Manga,24,PG-13 - Teens 13 or older,8.09,375902
Suzumiya Haruhi no Yuuutsu,TV,14,Finished Airing,Spring 2006,Light novel,23,PG-13 - Teens 13 or older,7.89,379966
Mob Psycho 100 II,TV,13,Finished Airing,Winter 2019,Web manga,24,PG-13 - Teens 13 or older,8.86,414358
Tonari no Kaibutsu-kun,TV,13,Finished Airing,Fall 2012,Manga,24,PG-13 - Teens 13 or older,7.57,397454
Kakegurui,TV,12,Finished Airing,Summer 2017,Manga,24,R - 17+ (violence & profanity),7.47,396661
Black Clover,TV,,Currently Airing,Fall 2017,Manga,23,PG-13 - Teens 13 or older,7.29,287908
Mahouka Koukou no Rettousei,TV,26,Finished Airing,Spring 2014,Light novel,23,PG-13 - Teens 13 or older,7.57,371147
Gintama,TV,201,Finished Airing,Spring 2006,Manga,24,PG-13 - Teens 13 or older,8.97,209213
Kobayashi-san Chi no Maid Dragon,TV,13,Finished Airing,Winter 2017,Manga,24,PG-13 - Teens 13 or older,8.05,403095
Fate/stay night,TV,24,Finished Airing,Winter 2006,Visual novel,24,R - 17+ (violence & profanity),7.36,372244
Bungou Stray Dogs,TV,12,Finished Airing,Spring 2016,Manga,23,R - 17+ (violence & profanity),7.78,328242
Fate/stay night: Unlimited Blade Works,TV,12,Finished Airing,Fall 2014,Visual novel,28,R - 17+ (violence & profanity),8.23,417013
Dragon Ball,TV,153,Finished Airing,Winter 1986,Manga,24,PG-13 - Teens 13 or older,8.02,421473
Baccano!,TV,13,Finished Airing,Summer 2007,Light novel,24,R - 17+ (violence & profanity),8.42,289199
Black Bullet,TV,13,Finished Airing,Spring 2014,Light novel,24,R - 17+ (violence & profanity),7.2,359918
Date A Live,TV,12,Finished Airing,Spring 2013,Light novel,23,R - 17+ (violence & profanity),7.25,372184
Tonari no Totoro,Movie,1,Finished Airing,,Original,86,G - All Ages,8.34,419862
Fairy Tail (2014),TV,102,Finished Airing,Spring 2014,Manga,24,PG-13 - Teens 13 or older,7.78,326844
Nanatsu no Taizai: Imashime no Fukkatsu,TV,24,Finished Airing,Winter 2018,Manga,24,PG-13 - Teens 13 or older,7.93,373154
ReLIFE,TV,13,Finished Airing,Summer 2016,Web manga,23,PG-13 - Teens 13 or older,8.05,362077
Black Lagoon,TV,12,Finished Airing,Spring 2006,Manga,24,R - 17+ (violence & profanity),8.06,321977
Byousoku 5 Centimeter,Movie,3,Finished Airing,,Original,22,PG-13 - Teens 13 or older,7.77,388903
Btooom!,TV,12,Finished Airing,Fall 2012,Manga,24,R - 17+ (violence & profanity),7.41,372456
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,Finished Airing,Spring 2015,Light novel,24,PG-13 - Teens 13 or older,8.28,403378
Prison School,TV,12,Finished Airing,Summer 2015,Manga,24,R+ - Mild Nudity,7.74,362801
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,TV,13,Finished Airing,Summer 2013,Game,24,R - 17+ (violence & profanity),7.31,358851
Hellsing Ultimate,OVA,10,Finished Airing,,Manga,50,R - 17+ (violence & profanity),8.41,320516
Tensei shitara Slime Datta Ken,TV,24,Finished Airing,Fall 2018,Light novel,23,PG-13 - Teens 13 or older,8.08,349996
Gekkan Shoujo Nozaki-kun,TV,12,Finished Airing,Summer 2014,4-koma manga,24,PG-13 - Teens 13 or older,8.0,336601
Zero no Tsukaima,TV,13,Finished Airing,Summer 2006,Light novel,23,PG-13 - Teens 13 or older,7.35,355904
Goblin Slayer,TV,12,Finished Airing,Fall 2018,Light novel,23,R - 17+ (violence & profanity),7.49,347906
Golden Time,TV,24,Finished Airing,Fall 2013,Light novel,24,PG-13 - Teens 13 or older,7.79,324164
High School DxD New,TV,12,Finished Airing,Summer 2013,Light novel,24,R+ - Mild Nudity,7.56,391308
Ookami to Koushinryou,TV,13,Finished Airing,Winter 2008,Light novel,24,PG-13 - Teens 13 or older,8.28,297711
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,Finished Airing,Fall 2016,Manga,24,PG-13 - Teens 13 or older,8.9,388609
