title,series_type,episodes,status,premiered,source,duration,rating,score,votes
Gunslinger Girl,TV,13,Finished Airing,Fall 2003,Manga,24,R - 17+ (violence & profanity),7.43,64130
Asobi ni Iku yo!,TV,12,Finished Airing,Summer 2010,Light novel,24,R+ - Mild Nudity,6.67,72180
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,TV,12,Finished Airing,Summer 2019,Light novel,23,PG-13 - Teens 13 or older,6.64,68379
Plastic Neesan,ONA,12,Finished Airing,,Manga,2,PG-13 - Teens 13 or older,7.27,81935
Hoshi wo Ou Kodomo,Movie,1,Finished Airing,,Original,116,PG-13 - Teens 13 or older,7.6,71436
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,1,Finished Airing,,Original,109,PG-13 - Teens 13 or older,8.39,78037
Berserk: Ougon Jidai-hen I - Haou no Tamago,Movie,1,Finished Airing,,Manga,76,R+ - Mild Nudity,7.77,100197
Kill la Kill Specials,Special,2,Finished Airing,,Original,18,R - 17+ (violence & profanity),7.73,88680
Great Pretender,ONA,23,Finished Airing,,Original,23,R+ - Mild Nudity,8.41,46864
Fairy Tail Movie 1: Houou no Miko,Movie,1,Finished Airing,,Manga,86,PG-13 - Teens 13 or older,7.43,88627
Psycho-Pass 3,TV,8,Finished Airing,Fall 2019,Original,45,R - 17+ (violence & profanity),7.56,39546
Robotics;Notes,TV,22,Finished Airing,Fall 2012,Visual novel,23,PG-13 - Teens 13 or older,7.35,64296
Kurenai no Buta,Movie,1,Finished Airing,,Manga,93,G - All Ages,7.99,96052
Trinity Blood,TV,24,Finished Airing,Spring 2005,Light novel,24,R - 17+ (violence & profanity),7.33,66672
Boogiepop wa Warawanai (2019),TV,18,Finished Airing,Winter 2019,Light novel,23,R - 17+ (violence & profanity),7.11,41395
Aku no Hana,TV,13,Finished Airing,Spring 2013,Manga,24,R - 17+ (violence & profanity),7.16,54416
Mobile Suit Gundam: Iron-Blooded Orphans,TV,25,Finished Airing,Fall 2015,Original,24,R - 17+ (violence & profanity),8.02,75318
.hack//Sign,TV,26,Finished Airing,Spring 2002,Original,24,PG-13 - Teens 13 or older,7.0,69606
Tenjou Tenge,TV,24,Finished Airing,Spring 2004,Manga,23,R - 17+ (violence & profanity),6.95,74900
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie,1,Finished Airing,,Original,130,PG-13 - Teens 13 or older,8.23,78885
Digimon Tamers,TV,51,Finished Airing,Spring 2001,Original,25,PG - Children,7.63,94634
Hibike! Euphonium 2,TV,13,Finished Airing,Fall 2016,Novel,23,PG-13 - Teens 13 or older,8.3,77772
Jinrui wa Suitai Shimashita,TV,12,Finished Airing,Summer 2012,Light novel,23,PG-13 - Teens 13 or older,7.79,49763
Shinryaku! Ika Musume,TV,12,Finished Airing,Fall 2010,Manga,24,PG-13 - Teens 13 or older,7.48,69468
Nijiiro Days,TV,24,Finished Airing,Winter 2016,Manga,13,PG-13 - Teens 13 or older,7.36,64032
Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,Special,1,Finished Airing,,Light novel,24,PG-13 - Teens 13 or older,7.52,88003
Kujira no Kora wa Sajou ni Utau,TV,12,Finished Airing,Fall 2017,Manga,23,PG-13 - Teens 13 or older,7.22,66655
Basilisk: Kouga Ninpou Chou,TV,24,Finished Airing,Spring 2005,Manga,24,R - 17+ (violence & profanity),7.59,63929
Kuroko no Basket Movie 4: Last Game,Movie,1,Finished Airing,,Manga,90,PG-13 - Teens 13 or older,8.09,83705
Love Lab,TV,13,Finished Airing,Summer 2013,Manga,24,PG-13 - Teens 13 or older,7.37,60070
C³,TV,12,Finished Airing,Fall 2011,Light novel,24,R - 17+ (violence & profanity),6.67,68559
Sirius,TV,12,Finished Airing,Summer 2018,Original,23,R - 17+ (violence & profanity),7.06,61982
Bleach Movie 4: Jigoku-hen,Movie,1,Finished Airing,,Manga,94,PG-13 - Teens 13 or older,7.62,88317
Isekai no Seikishi Monogatari,OVA,13,Finished Airing,,Original,45,R+ - Mild Nudity,7.87,62985
