title,licensor
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,Viz Media
D.Gray-man,Funimation
Great Teacher Onizuka,Discotek Media
Great Teacher Onizuka,Tokyopop
Ore no Imouto ga Konnani Kawaii Wake ga Nai,Aniplex of America
InuYasha,Viz Media
Akatsuki no Yona,Funimation
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,Viz Media
Nisemonogatari,Aniplex of America
Steins;Gate 0,Funimation
Ao Haru Ride,Sentai Filmworks
Free!,Funimation
Free!,Discotek Media
Free!,Crunchyroll
Trigun,Funimation
Trigun,Geneon Entertainment USA
Kotonoha no Niwa,Sentai Filmworks
NHK ni Youkoso!,ADV Films
NHK ni Youkoso!,Funimation
Claymore,Funimation
Hellsing,Funimation
Hellsing,Geneon Entertainment USA
Yamada-kun to 7-nin no Majo (TV),Funimation
Yamada-kun to 7-nin no Majo (TV),Crunchyroll
High School DxD BorN,Funimation
Rosario to Vampire,Funimation
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,Funimation
Hai to Gensou no Grimgar,Funimation
Akira,Funimation
Akira,Bandai Entertainment
Akira,Geneon Entertainment USA
Lucky☆Star,Funimation
Lucky☆Star,Bandai Entertainment
Lucky☆Star,Kadokawa Pictures USA
Baka to Test to Shoukanjuu,Funimation
Kore wa Zombie Desu ka?,Funimation
Neon Genesis Evangelion: The End of Evangelion,Manga Entertainment
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,Aniplex of America
Yuri!!! on Ice,Funimation
Yuri!!! on Ice,Crunchyroll
Blood Lad,Viz Media
Kiznaiver,Aniplex of America
Kiznaiver,Crunchyroll
Monster Musume no Iru Nichijou,Sentai Filmworks
Sakamoto Desu ga?,Sentai Filmworks
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),Funimation
School Days,Discotek Media
Masamune-kun no Revenge,Funimation
Owari no Seraph: Nagoya Kessen-hen,Funimation
Kami nomi zo Shiru Sekai,Sentai Filmworks
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,Sentai Filmworks
Overlord III,Funimation
Saiki Kusuo no Ψ-nan,Funimation
Orange,Funimation
Orange,Crunchyroll
Dragon Ball Super,Funimation
Barakamon,Funimation
Psycho-Pass 2,Funimation
Monogatari Series: Second Season,Aniplex of America
IS: Infinite Stratos,Sentai Filmworks
Chuunibyou demo Koi ga Shitai! Ren,Sentai Filmworks
Ao no Exorcist: Kyoto Fujouou-hen,Aniplex of America
Strike the Blood,Discotek Media
Strike the Blood,Crunchyroll
K-On!!,Sentai Filmworks
Eromanga-sensei,Aniplex of America
Amagi Brilliant Park,Sentai Filmworks
Sword Art Online Movie: Ordinal Scale,Aniplex of America
Bakuman.,Media Blasters
Bakuman.,NYAV Post
Suzumiya Haruhi no Shoushitsu,Funimation
Suzumiya Haruhi no Shoushitsu,Bandai Entertainment
Rokka no Yuusha,Ponycan USA
Zetsuen no Tempest,Aniplex of America
Nisekoi:,Aniplex of America
To LOVE-Ru,Sentai Filmworks
Ergo Proxy,Funimation
Ergo Proxy,Geneon Entertainment USA
Vampire Knight,Viz Media
Log Horizon 2nd Season,Sentai Filmworks
Boruto: Naruto Next Generations,Viz Media
Himouto! Umaru-chan,Sentai Filmworks
Shakugan no Shana,Funimation
Shakugan no Shana,Geneon Entertainment USA
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Viz Media
Koukaku Kidoutai,Manga Entertainment
Gakusen Toshi Asterisk,Aniplex of America
Kami no Tou,Crunchyroll
Sukitte Ii na yo.,Sentai Filmworks
Ore Monogatari!!,Sentai Filmworks
Shiki,Funimation
Katekyo Hitman Reborn!,Viz Media
Katekyo Hitman Reborn!,Discotek Media
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,Sentai Filmworks
Dragon Ball GT,Funimation
Nagi no Asu kara,"NIS America, Inc."
Shinmai Maou no Testament,Funimation
Shinmai Maou no Testament,Crunchyroll
Sankarea,Funimation
Serial Experiments Lain,Funimation
Serial Experiments Lain,Geneon Entertainment USA
Higashi no Eden,Funimation
Beelzebub,Discotek Media
Yuu☆Yuu☆Hakusho,Funimation
Tsurezure Children,Funimation
Rokudenashi Majutsu Koushi to Akashic Records,Funimation
Toaru Kagaku no Railgun,Funimation
Pokemon,Viz Media
Pokemon,4Kids Entertainment
