title,genre
Darling in the FranXX,Sci-Fi
Samurai Champloo,Action
Samurai Champloo,Adventure
Samurai Champloo,Comedy
Samurai Champloo,Historical
Samurai Champloo,Samurai
Samurai Champloo,Shounen
Dragon Ball Z,Action
Dragon Ball Z,Adventure
Dragon Ball Z,Comedy
Dragon Ball Z,Fantasy
Dragon Ball Z,Martial Arts
Dragon Ball Z,Shounen
Dragon Ball Z,Super Power
Log Horizon,Action
Log Horizon,Game
Log Horizon,Adventure
Log Horizon,Magic
Log Horizon,Fantasy
Kuroshitsuji,Action
Kuroshitsuji,Mystery
Kuroshitsuji,Comedy
Kuroshitsuji,Historical
Kuroshitsuji,Demons
Kuroshitsuji,Supernatural
Kuroshitsuji,Shounen
Owari no Seraph,Action
Owari no Seraph,Military
Owari no Seraph,Supernatural
Owari no Seraph,Drama
Owari no Seraph,Vampire
Owari no Seraph,Shounen
Mononoke Hime,Action
Mononoke Hime,Adventure
Mononoke Hime,Fantasy
Shingeki no Kyojin Season 3 Part 2,Action
Shingeki no Kyojin Season 3 Part 2,Military
Shingeki no Kyojin Season 3 Part 2,Mystery
Shingeki no Kyojin Season 3 Part 2,Super Power
Shingeki no Kyojin Season 3 Part 2,Drama
Shingeki no Kyojin Season 3 Part 2,Fantasy
Shingeki no Kyojin Season 3 Part 2,Shounen
Kaichou wa Maid-sama!,Comedy
Kaichou wa Maid-sama!,Romance
Kaichou wa Maid-sama!,School
Kaichou wa Maid-sama!,Shoujo
Nisekoi,Harem
Nisekoi,Comedy
Nisekoi,Romance
Nisekoi,School
Nisekoi,Shounen
Kyoukai no Kanata,Slice of Life
Kyoukai no Kanata,Supernatural
Kyoukai no Kanata,Fantasy
Ansatsu Kyoushitsu 2nd Season,Action
Ansatsu Kyoushitsu 2nd Season,Comedy
Ansatsu Kyoushitsu 2nd Season,School
Ansatsu Kyoushitsu 2nd Season,Shounen
Tate no Yuusha no Nariagari,Action
Tate no Yuusha no Nariagari,Adventure
Tate no Yuusha no Nariagari,Drama
Tate no Yuusha no Nariagari,Fantasy
Made in Abyss,Sci-Fi
Made in Abyss,Adventure
Made in Abyss,Mystery
Made in Abyss,Drama
Made in Abyss,Fantasy
Boku no Hero Academia 4th Season,Action
Boku no Hero Academia 4th Season,Comedy
Boku no Hero Academia 4th Season,Super Power
Boku no Hero Academia 4th Season,School
Boku no Hero Academia 4th Season,Shounen
Dr. Stone,Sci-Fi
Dr. Stone,Adventure
Dr. Stone,Shounen
Howl no Ugoku Shiro,Adventure
Howl no Ugoku Shiro,Drama
Howl no Ugoku Shiro,Fantasy
Howl no Ugoku Shiro,Romance
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Comedy
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Romance
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,School
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Supernatural
Zankyou no Terror,Mystery
Zankyou no Terror,Psychological
Zankyou no Terror,Thriller
Ouran Koukou Host Club,Comedy
Ouran Koukou Host Club,Harem
Ouran Koukou Host Club,Romance
Ouran Koukou Host Club,School
Ouran Koukou Host Club,Shoujo
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Comedy
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Psychological
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Romance
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,School
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Seinen
Fate/Zero 2nd Season,Action
Fate/Zero 2nd Season,Supernatural
Fate/Zero 2nd Season,Magic
Fate/Zero 2nd Season,Fantasy
Kuroko no Basket,Comedy
Kuroko no Basket,School
Kuroko no Basket,Shounen
Kuroko no Basket,Sports
Haikyuu!! Second Season,Comedy
Haikyuu!! Second Season,Sports
Haikyuu!! Second Season,Drama
Haikyuu!! Second Season,School
Haikyuu!! Second Season,Shounen
Darker than Black: Kuro no Keiyakusha,Action
Darker than Black: Kuro no Keiyakusha,Sci-Fi
Darker than Black: Kuro no Keiyakusha,Mystery
Darker than Black: Kuro no Keiyakusha,Super Power
Shokugeki no Souma: Ni no Sara,Ecchi
Shokugeki no Souma: Ni no Sara,School
Shokugeki no Souma: Ni no Sara,Shounen
K-On!,Music
K-On!,Slice of Life
K-On!,Comedy
K-On!,School
Magi: The Labyrinth of Magic,Action
Magi: The Labyrinth of Magic,Adventure
Magi: The Labyrinth of Magic,Fantasy
Magi: The Labyrinth of Magic,Magic
Magi: The Labyrinth of Magic,Shounen
Suzumiya Haruhi no Yuuutsu,Comedy
Suzumiya Haruhi no Yuuutsu,Mystery
Suzumiya Haruhi no Yuuutsu,Parody
Suzumiya Haruhi no Yuuutsu,School
Suzumiya Haruhi no Yuuutsu,Sci-Fi
Suzumiya Haruhi no Yuuutsu,Slice of Life
Mob Psycho 100 II,Action
Mob Psycho 100 II,Slice of Life
Mob Psycho 100 II,Comedy
Mob Psycho 100 II,Supernatural
Tonari no Kaibutsu-kun,Slice of Life
Tonari no Kaibutsu-kun,Comedy
Tonari no Kaibutsu-kun,Romance
Tonari no Kaibutsu-kun,School
Tonari no Kaibutsu-kun,Shoujo
Kakegurui,Game
Kakegurui,Mystery
Kakegurui,Psychological
Kakegurui,Drama
Kakegurui,School
Kakegurui,Shounen
Black Clover,Action
Black Clover,Comedy
Black Clover,Magic
Black Clover,Fantasy
Black Clover,Shounen
Mahouka Koukou no Rettousei,Action
Mahouka Koukou no Rettousei,Sci-Fi
Mahouka Koukou no Rettousei,Supernatural
Mahouka Koukou no Rettousei,Magic
Mahouka Koukou no Rettousei,Romance
Mahouka Koukou no Rettousei,School
Gintama,Action
Gintama,Comedy
Gintama,Historical
Gintama,Parody
Gintama,Samurai
Gintama,Sci-Fi
Gintama,Shounen
Kobayashi-san Chi no Maid Dragon,Slice of Life
Kobayashi-san Chi no Maid Dragon,Comedy
Kobayashi-san Chi no Maid Dragon,Fantasy
Fate/stay night,Action
Fate/stay night,Supernatural
Fate/stay night,Magic
Fate/stay night,Romance
Fate/stay night,Fantasy
Bungou Stray Dogs,Action
Bungou Stray Dogs,Comedy
Bungou Stray Dogs,Mystery
Bungou Stray Dogs,Seinen
Bungou Stray Dogs,Super Power
Bungou Stray Dogs,Supernatural
Fate/stay night: Unlimited Blade Works,Action
Fate/stay night: Unlimited Blade Works,Fantasy
Fate/stay night: Unlimited Blade Works,Magic
Fate/stay night: Unlimited Blade Works,Supernatural
Dragon Ball,Adventure
Dragon Ball,Comedy
Dragon Ball,Fantasy
Dragon Ball,Martial Arts
Dragon Ball,Shounen
Dragon Ball,Super Power
Baccano!,Action
Baccano!,Comedy
Baccano!,Historical
Baccano!,Mystery
Baccano!,Supernatural
Black Bullet,Action
Black Bullet,Sci-Fi
Black Bullet,Mystery
Black Bullet,Seinen
Date A Live,Sci-Fi
Date A Live,Harem
Date A Live,Comedy
Date A Live,Romance
Date A Live,Mecha
Date A Live,School
Tonari no Totoro,Adventure
Tonari no Totoro,Comedy
Tonari no Totoro,Supernatural
Fairy Tail (2014),Action
Fairy Tail (2014),Adventure
Fairy Tail (2014),Comedy
Fairy Tail (2014),Fantasy
Fairy Tail (2014),Magic
Fairy Tail (2014),Shounen
