title,producer
Neon Genesis Evangelion,TV Tokyo
Neon Genesis Evangelion,Kadokawa Shoten
Neon Genesis Evangelion,Nihon Ad Systems
Neon Genesis Evangelion,Audio Tanaka
Clannad,Pony Canyon
Clannad,TBS
Clannad,Movic
Clannad,Animation Do
Fate/Zero,Aniplex
Fate/Zero,Nitroplus
Fate/Zero,Seikaisha
Fate/Zero,Notes
Haikyuu!!,Mainichi Broadcasting System
Haikyuu!!,TOHO animation
Haikyuu!!,Shueisha
Bakemonogatari,Aniplex
Bakemonogatari,Kodansha
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Genco
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Movic
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Warner Bros. Japan
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,KlockWorx
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,SoftBank Creative
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Showgate
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,MAGES.
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,FuRyu
Hataraku Maou-sama!,Sotsu
Hataraku Maou-sama!,Lantis
Hataraku Maou-sama!,Pony Canyon
Hataraku Maou-sama!,Magic Capsule
Hataraku Maou-sama!,Infinite
Shingeki no Kyojin Season 3,Production I.G
Shingeki no Kyojin Season 3,Dentsu
Shingeki no Kyojin Season 3,Mainichi Broadcasting System
Shingeki no Kyojin Season 3,Pony Canyon
Shingeki no Kyojin Season 3,Kodansha
Shingeki no Kyojin Season 3,Techno Sound
Shingeki no Kyojin Season 3,Pony Canyon Enterprise
Noragami Aragoto,Dentsu
Noragami Aragoto,Shochiku
Noragami Aragoto,Kodansha
Noragami Aragoto,Ai Addiction
Noragami Aragoto,Avex Pictures
Noragami Aragoto,A-Sketch
Overlord,AT-X
Overlord,Grooove
Overlord,Hakuhodo DY Music &amp; Pictures
Overlord,Kadokawa
Charlotte,Aniplex
Charlotte,Mainichi Broadcasting System
Charlotte,Movic
Charlotte,Visual Art&#039;s
Charlotte,ASCII Media Works
Charlotte,Tokyo MX
Charlotte,BS11
Mahou Shoujo Madoka★Magica,Aniplex
Mahou Shoujo Madoka★Magica,Mainichi Broadcasting System
Mahou Shoujo Madoka★Magica,Movic
Mahou Shoujo Madoka★Magica,Nitroplus
Mahou Shoujo Madoka★Magica,Houbunsha
High School DxD,Genco
High School DxD,Lantis
High School DxD,AT-X
High School DxD,PRA
High School DxD,Showgate
High School DxD,Atelier Musa
High School DxD,Fujimi Shobo
Guilty Crown,Aniplex
Guilty Crown,Dentsu
Guilty Crown,Movic
Guilty Crown,Fuji TV
Guilty Crown,Fujipacific Music
Violet Evergarden,Lantis
Violet Evergarden,Pony Canyon
Violet Evergarden,Rakuonsha
Violet Evergarden,ABC Animation
Deadman Wonderland,Kadokawa Shoten
Deadman Wonderland,Kadokawa Pictures Japan
Deadman Wonderland,KlockWorx
Deadman Wonderland,AMG MUSIC
Kono Subarashii Sekai ni Shukufuku wo! 2,Kadokawa Shoten
Kono Subarashii Sekai ni Shukufuku wo! 2,Nippon Columbia
Kono Subarashii Sekai ni Shukufuku wo! 2,KlockWorx
Kono Subarashii Sekai ni Shukufuku wo! 2,Sony Music Communications
Kono Subarashii Sekai ni Shukufuku wo! 2,Toranoana
Kono Subarashii Sekai ni Shukufuku wo! 2,81 Produce
Kono Subarashii Sekai ni Shukufuku wo! 2,Kadokawa Media House
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Geneon Universal Entertainment
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TBS
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Delfi Sound
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Marvelous AQL
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Atelier Musa
Chuunibyou demo Koi ga Shitai!,Lantis
Chuunibyou demo Koi ga Shitai!,Pony Canyon
Chuunibyou demo Koi ga Shitai!,TBS
Chuunibyou demo Koi ga Shitai!,Rakuonsha
Chuunibyou demo Koi ga Shitai!,Animation Do
Yakusoku no Neverland,Aniplex
Yakusoku no Neverland,Dentsu
Yakusoku no Neverland,A-1 Pictures
Yakusoku no Neverland,Fuji TV
Yakusoku no Neverland,Shueisha
Yakusoku no Neverland,CA-Cygames Anime Fund
One Punch Man 2nd Season,TV Tokyo
One Punch Man 2nd Season,Good Smile Company
One Punch Man 2nd Season,Shueisha
One Punch Man 2nd Season,JR East Marketing &amp; Communications
One Punch Man 2nd Season,Bandai Namco Arts
One Punch Man 2nd Season,Bandai Spirits
Clannad: After Story,Pony Canyon
Clannad: After Story,TBS
Clannad: After Story,Rakuonsha
Clannad: After Story,Animation Do
Hyouka,Lantis
Hyouka,Kadokawa Shoten
Hyouka,KlockWorx
Hyouka,chara-ani.com
Hyouka,Animation Do
Sakura-sou no Pet na Kanojo,Frontier Works
Sakura-sou no Pet na Kanojo,Genco
Sakura-sou no Pet na Kanojo,Media Factory
Sakura-sou no Pet na Kanojo,Animax
Sakura-sou no Pet na Kanojo,Mainichi Broadcasting System
Sakura-sou no Pet na Kanojo,ASCII Media Works
Sakura-sou no Pet na Kanojo,Sony Music Communications
JoJo no Kimyou na Bouken (TV),Yomiko Advertising
JoJo no Kimyou na Bouken (TV),Warner Bros. Japan
JoJo no Kimyou na Bouken (TV),Kamikaze Douga
JoJo no Kimyou na Bouken (TV),KlockWorx
JoJo no Kimyou na Bouken (TV),Shueisha
Darling in the FranXX,Aniplex
Darling in the FranXX,Khara
Darling in the FranXX,Movic
Darling in the FranXX,Ultra Super Pictures
Darling in the FranXX,Lucent Pictures Entertainment
Darling in the FranXX,Tokyo MX
Darling in the FranXX,Nagoya Broadcasting Network
Darling in the FranXX,Asahi Broadcasting
Darling in the FranXX,BS11
Darling in the FranXX,Lawson
Darling in the FranXX,ABC Animation
Darling in the FranXX,Rialto Entertainment
Samurai Champloo,Victor Entertainment
Samurai Champloo,Fuji TV
Samurai Champloo,Barnum Studio
Samurai Champloo,Tokuma Shoten
Samurai Champloo,flying DOG
Dragon Ball Z,Fuji TV
Log Horizon,NHK
Kuroshitsuji,Aniplex
Kuroshitsuji,Square Enix
Kuroshitsuji,Yomiko Advertising
Kuroshitsuji,Mainichi Broadcasting System
Kuroshitsuji,Movic
Kuroshitsuji,Trinity Sound
Owari no Seraph,Rakuonsha
Owari no Seraph,NBCUniversal Entertainment Japan
Owari no Seraph,Shueisha
Mononoke Hime,Tokuma Shoten
Mononoke Hime,Nippon Television Network
Shingeki no Kyojin Season 3 Part 2,Production I.G
Shingeki no Kyojin Season 3 Part 2,Dentsu
Shingeki no Kyojin Season 3 Part 2,Mainichi Broadcasting System
Shingeki no Kyojin Season 3 Part 2,Pony Canyon
Shingeki no Kyojin Season 3 Part 2,Kodansha
Shingeki no Kyojin Season 3 Part 2,Techno Sound
Shingeki no Kyojin Season 3 Part 2,Pony Canyon Enterprise
Kaichou wa Maid-sama!,Geneon Universal Entertainment
Kaichou wa Maid-sama!,TBS
Kaichou wa Maid-sama!,Hakusensha
Kaichou wa Maid-sama!,Half H.P Studio
Nisekoi,Aniplex
Nisekoi,Mainichi Broadcasting System
Nisekoi,Shueisha
Kyoukai no Kanata,Lantis
Kyoukai no Kanata,Pony Canyon
Kyoukai no Kanata,TBS
Ansatsu Kyoushitsu 2nd Season,Dentsu
Ansatsu Kyoushitsu 2nd Season,Studio Hibari
Ansatsu Kyoushitsu 2nd Season,Fuji TV
Ansatsu Kyoushitsu 2nd Season,DAX Production
Ansatsu Kyoushitsu 2nd Season,Avex Pictures
Ansatsu Kyoushitsu 2nd Season,Shueisha
Ansatsu Kyoushitsu 2nd Season,Kansai Telecasting
Tate no Yuusha no Nariagari,Frontier Works
Tate no Yuusha no Nariagari,AT-X
Tate no Yuusha no Nariagari,Nippon Columbia
Tate no Yuusha no Nariagari,Glovision
Tate no Yuusha no Nariagari,Good Smile Company
Tate no Yuusha no Nariagari,Sammy
Tate no Yuusha no Nariagari,Kadokawa Media House
Tate no Yuusha no Nariagari,NTT Plala
Tate no Yuusha no Nariagari,Kadokawa
Tate no Yuusha no Nariagari,Crunchyroll SC Anime Fund
Made in Abyss,Media Factory
Made in Abyss,AT-X
Made in Abyss,Takeshobo
Made in Abyss,Sony Music Communications
Made in Abyss,Kadokawa Media House
Made in Abyss,Cygames
Made in Abyss,Kanetsu Investment
Made in Abyss,Global Solutions
Boku no Hero Academia 4th Season,Dentsu
Boku no Hero Academia 4th Season,Yomiuri Telecasting
Boku no Hero Academia 4th Season,Movic
Boku no Hero Academia 4th Season,Sony Music Entertainment
Boku no Hero Academia 4th Season,TOHO animation
Boku no Hero Academia 4th Season,Shueisha
Dr. Stone,TOHO animation
Dr. Stone,Shueisha
Howl no Ugoku Shiro,d-rights
Howl no Ugoku Shiro,Tokuma Shoten
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Aniplex
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Tokyo MX
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Hakuhodo DY Music &amp; Pictures
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Nagoya Broadcasting Network
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,BS11
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,ABC Animation
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Kadokawa
Zankyou no Terror,Aniplex
Zankyou no Terror,Dentsu
Zankyou no Terror,Fuji TV
Zankyou no Terror,Tohokushinsha Film Corporation
Zankyou no Terror,Kyoraku Industrial Holdings
Ouran Koukou Host Club,VAP
Ouran Koukou Host Club,Hakusensha
Ouran Koukou Host Club,Nippon Television Network
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Aniplex
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Mainichi Broadcasting System
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Magic Capsule
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Shueisha
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,JR East Marketing &amp; Communications
Fate/Zero 2nd Season,Aniplex
Fate/Zero 2nd Season,Nitroplus
Fate/Zero 2nd Season,Seikaisha
Fate/Zero 2nd Season,Notes
Kuroko no Basket,Bandai Visual
Kuroko no Basket,Lantis
Kuroko no Basket,Nihon Ad Systems
Kuroko no Basket,Mainichi Broadcasting System
Kuroko no Basket,Banpresto
Kuroko no Basket,Shueisha
Kuroko no Basket,BS11
Haikyuu!! Second Season,TOHO animation
Haikyuu!! Second Season,Shueisha
Darker than Black: Kuro no Keiyakusha,Aniplex
Darker than Black: Kuro no Keiyakusha,Square Enix
Darker than Black: Kuro no Keiyakusha,Mainichi Broadcasting System
Darker than Black: Kuro no Keiyakusha,Movic
Darker than Black: Kuro no Keiyakusha,Myrica Music
Shokugeki no Souma: Ni no Sara,Dentsu
Shokugeki no Souma: Ni no Sara,Lantis
Shokugeki no Souma: Ni no Sara,Mainichi Broadcasting System
Shokugeki no Souma: Ni no Sara,KlockWorx
Shokugeki no Souma: Ni no Sara,Showgate
Shokugeki no Souma: Ni no Sara,Shueisha
K-On!,Pony Canyon
K-On!,TBS
K-On!,Movic
K-On!,Rakuonsha
K-On!,Animation Do
Magi: The Labyrinth of Magic,Aniplex
Magi: The Labyrinth of Magic,Dentsu
Magi: The Labyrinth of Magic,Shogakukan-Shueisha Productions
Magi: The Labyrinth of Magic,Mainichi Broadcasting System
Magi: The Labyrinth of Magic,Movic
Magi: The Labyrinth of Magic,GYAO!
Suzumiya Haruhi no Yuuutsu,Lantis
Suzumiya Haruhi no Yuuutsu,Kadokawa Shoten
Suzumiya Haruhi no Yuuutsu,Kadokawa Pictures Japan
Suzumiya Haruhi no Yuuutsu,KlockWorx
Mob Psycho 100 II,Warner Bros. Japan
Mob Psycho 100 II,KlockWorx
Mob Psycho 100 II,BS Fuji
Mob Psycho 100 II,Hakuhodo DY Music &amp; Pictures
Mob Psycho 100 II,Shogakukan
Tonari no Kaibutsu-kun,TV Tokyo
Tonari no Kaibutsu-kun,Aniplex
Tonari no Kaibutsu-kun,Nihon Ad Systems
Tonari no Kaibutsu-kun,Kodansha
Kakegurui,Dentsu
Kakegurui,Square Enix
Kakegurui,Movic
Kakegurui,KlockWorx
Kakegurui,DIVE II Entertainment
Kakegurui,81 Produce
Kakegurui,FuRyu
Black Clover,TV Tokyo
Black Clover,Avex Pictures
Black Clover,Shueisha
Mahouka Koukou no Rettousei,Aniplex
Mahouka Koukou no Rettousei,Square Enix
Mahouka Koukou no Rettousei,Movic
Mahouka Koukou no Rettousei,ASCII Media Works
Gintama,TV Tokyo
Gintama,Aniplex
Gintama,Dentsu
Gintama,Trinity Sound
Gintama,Audio Highs
Gintama,Miracle Robo
Gintama,Shueisha
Kobayashi-san Chi no Maid Dragon,Lantis
Kobayashi-san Chi no Maid Dragon,Pony Canyon
Kobayashi-san Chi no Maid Dragon,ABC Animation
Fate/stay night,Geneon Universal Entertainment
Fate/stay night,Frontier Works
Fate/stay night,TBS
Fate/stay night,KlockWorx
Fate/stay night,Notes
Bungou Stray Dogs,Lantis
Bungou Stray Dogs,Movic
Bungou Stray Dogs,KlockWorx
Bungou Stray Dogs,Bandai Namco Live Creative
Bungou Stray Dogs,Glovision
Bungou Stray Dogs,Lawson HMV Entertainment
Bungou Stray Dogs,Sony PCL
Fate/stay night: Unlimited Blade Works,Aniplex
Fate/stay night: Unlimited Blade Works,Notes
Dragon Ball,Fuji TV
Baccano!,Aniplex
Baccano!,Sakura Create
Baccano!,Happinet Pictures
Black Bullet,Geneon Universal Entertainment
Black Bullet,AT-X
Black Bullet,Showgate
Black Bullet,NBCUniversal Entertainment Japan
Date A Live,Kadokawa Shoten
Date A Live,AT-X
Date A Live,Nippon Columbia
Date A Live,Fujimi Shobo
